marca,modelo,cilindrada,transmision,combustible,urbano,ruta,mixto
TOYOTA,LAND CRUISER 200,4461,AUTOMATICA,GAS OIL,11.56,8.94,9.9
RENAULT,FLUENCE 2.0 16V,1997,CVT,NAFTA,10.5,6.1,7.7
RENAULT,DUSTER 2.0 16v,1998,MANUAL,NAFTA,11.13,6.98,8.52
RENAULT,DUSTER 2.0 16v 4X4,1998,MANUAL,NAFTA,11.2,7.01,8.55
CITROEN,DS4,1598,AUTOMATICA,NAFTA,10.6,6.0,7.7
RENAULT,MASTER dCi,2299,MANUAL,GAS OIL,9.2,7.4,8.0
CITROEN,DS3,1598,MANUAL,NAFTA,8.2,4.7,6.0
PEUGEOT,208,1587,MANUAL,NAFTA,10.17,5.84,7.44
TOYOTA,RAV4,2494,AUTOMATICA,NAFTA,11.4,6.9,8.5
FORD,FOCUS,1596,MANUAL,NAFTA,9.24,4.98,6.55
PEUGEOT,301,1587,MANUAL,NAFTA,8.8,5.3,6.5
CITROEN,C-ELYSEE ,1587,MANUAL,NAFTA,8.8,5.3,6.5
HYUNDAI,H-100,2497,MANUAL,GAS OIL,12.4,8.2,9.7
FORD,MONDEO,1999,AUTOMATICA,NAFTA,13.72,7.81,9.97
HYUNDAI,GRAND i10,1248,MANUAL,NAFTA,7.46,4.97,5.89
HYUNDAI,GRAND i10,1248,AUTOMATICA,NAFTA,8.11,5.46,6.44
RENAULT,SANDERO 2.6 16V RS,1998,MANUAL,NAFTA,11.37,6.71,8.42
CHERY,S5X,998,MANUAL,NAFTA,7.5,5.3,6.1
RENAULT,DUSTER OROCH 2.0 16v,1998,MANUAL,NAFTA,10.4,6.23,7.78
HYUNDAI,H350,2497,MANUAL (RF 3.538),GAS OIL,12.2,8.6,9.9
HYUNDAI,H350,2497,MANUAL (RF 3.917),GAS OIL,12.2,8.6,9.9
SUZUKI,VITARA,1586,MANUAL,NAFTA,7.26,5.26,6.0
SUZUKI,VITARA,1586,AUTOMATICA,NAFTA,7.48,5.22,6.05
CHEVROLET,MONTANA 1.8,1796,MANUAL,NAFTA,11.35,6.68,8.4
TOYOTA,LAND CRUISER PRADO,3956,AUTOMATICA,NAFTA,15.42,9.2,11.49
FORD,S-MAX,1999,AUTOMATICA,NAFTA,12.5,6.9,8.9
BMW,118i,1499,AUTOMATICA,NAFTA,6.4,4.6,5.2
HYUNDAI,TUCSON,1999,MANUAL,NAFTA,10.82,6.2,7.7
HYUNDAI,TUCSON,1999,AUTOMATICA,NAFTA,11.26,6.31,8.1
BMW,320i,1998,AUTOMATICA,NAFTA,7.6,4.7,5.8
HYUNDAI,TUCSON,1995,MANUAL,GAS OIL,6.9,4.8,5.6
HYUNDAI,TUCSON,1995,AUTOMATICA,GAS OIL,7.9,5.1,6.1
HYUNDAI,CRETA (ix25),1591,MANUAL,NAFTA,8.7,5.6,6.7
HYUNDAI,CRETA (ix25),1591,AUTOMATICA,NAFTA,9.1,5.8,7.0
TOYOTA,PRIUS,1798,CVT,NAFTA,3.7,3.8,3.8
RENAULT,CAPTUR 2.0 16v,1998,MANUAL,NAFTA,11.49,7.01,8.67
HYUNDAI,TUCSON,1591,AUTOMATICA,NAFTA,10.0,6.7,7.9
PEUGEOT,308,1598,MANUAL,NAFTA,8.1,4.9,6.0
CHEVROLET,TRACKER 1.8,1796,MANUAL,NAFTA,11.43,6.3,8.19
CHEVROLET,TRACKER 1.8,1796,AUTOMATICA,NAFTA,12.06,6.91,8.8
PEUGEOT,208,1560,MANUAL,GAS OIL,4.6,3.5,3.9
HONDA,CIVIC,1498,CVT,NAFTA,8.2,4.9,6.1
HONDA,CIVIC,1997,MANUAL,NAFTA,9.9,5.5,7.0
HONDA,CIVIC,1997,CVT,NAFTA,9.09,5.46,6.8
CHEVROLET,COBALT 1.8,1796,AUTOMATICA,NAFTA,11.54,5.86,7.91
CHEVROLET,COBALT 1.8,1796,MANUAL,NAFTA,10.53,5.6,7.42
NISSAN,MARCH,1598,MANUAL,NAFTA,8.6,5.3,6.5
NISSAN,MARCH,1598,AUTOMATICA,NAFTA,9.1,5.6,6.9
PEUGEOT,301,1587,AUTOMATICA,NAFTA,9.2,5.3,6.8
CITROEN,C-ELYSEE ,1587,AUTOMATICA,NAFTA,9.2,5.3,6.8
PEUGEOT,301,1560,MANUAL,GAS OIL,4.9,3.9,4.3
CITROEN,C-ELYSEE ,1560,MANUAL,GAS OIL,4.9,3.9,4.3
CHEVROLET,CAMARO 6.2,6162,AUTOMATICA,NAFTA,18.1,8.1,11.7
BMW,220i,1998,AUTOMATICA,NAFTA,7.7,5.2,6.1
BMW,120i,1998,AUTOMATICA,NAFTA,7.4,5.0,5.9
